Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Population ages 15-64, total",SP.POP.1564.TO,France,FRA,41798307
"Population ages 15-64, total",SP.POP.1564.TO,Italy,ITA,39071616
"Population ages 15-64, total",SP.POP.1564.TO,Germany,DEU,53557394
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/02/2019,,,,
