Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Population ages 15-64, total",SP.POP.1564.TO,United Kingdom,GBR,42146414
"Population ages 15-64, total",SP.POP.1564.TO,Norway,NOR,3434052
"Population ages 15-64, total",SP.POP.1564.TO,Denmark,DNK,3664797
"Population ages 15-64, total",SP.POP.1564.TO,Spain,ESP,30829794
"Population ages 15-64, total",SP.POP.1564.TO,Portugal,PRT,6707573
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/02/2019,,,,
