"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Rankin County, MS"	"28121"	14	152080	Unreliable	Unreliable
	"Boone County, MO"	"29019"	20	178271	11.2	12.4
	"Buchanan County, MO"	"29021"	10	89065	Unreliable	Unreliable
	"Butler County, MO"	"29023"	10	42666	Unreliable	Unreliable
	"Cass County, MO"	"29037"	15	103724	Unreliable	Unreliable
	"Christian County, MO"	"29043"	16	85432	Unreliable	Unreliable
	"Clay County, MO"	"29047"	26	242874	10.7	10.0
	"Franklin County, MO"	"29071"	29	103330	28.1	31.1
	"Greene County, MO"	"29077"	76	289805	26.2	27.1
	"Jackson County, MO"	"29095"	123	698895	17.6	16.9
	"Jasper County, MO"	"29097"	16	120217	Unreliable	Unreliable
	"Jefferson County, MO"	"29099"	89	223810	39.8	42.2
	"Lincoln County, MO"	"29113"	13	56183	Unreliable	Unreliable
	"Phelps County, MO"	"29161"	16	44744	Unreliable	Unreliable
	"Platte County, MO"	"29165"	12	101187	Unreliable	Unreliable
	"Pulaski County, MO"	"29169"	10	52059	Unreliable	Unreliable
	"St. Charles County, MO"	"29183"	93	395504	23.5	24.7
	"St. Francois County, MO"	"29187"	17	66705	Unreliable	Unreliable
	"St. Louis County, MO"	"29189"	289	996726	29.0	31.4
	"Taney County, MO"	"29213"	19	55355	Unreliable	Unreliable
	"Warren County, MO"	"29219"	10	34373	Unreliable	Unreliable
	"Webster County, MO"	"29225"	10	38665	Unreliable	Unreliable
	"St. Louis city, MO"	"29510"	213	308626	69.0	66.6
	"Cascade County, MT"	"30013"	11	81654	Unreliable	Unreliable
	"Flathead County, MT"	"30029"	15	100000	Unreliable	Unreliable
	"Yellowstone County, MT"	"30111"	25	158980	15.7	16.8
	"Douglas County, NE"	"31055"	64	561620	11.4	11.2
	"Lancaster County, NE"	"31109"	21	314358	6.7	6.2
	"Sarpy County, NE"	"31153"	11	181439	Unreliable	Unreliable
	"Clark County, NV"	"32003"	464	2204079	21.1	20.3
	"Lyon County, NV"	"32019"	18	54122	Unreliable	Unreliable
	"Nye County, NV"	"32023"	16	44202	Unreliable	Unreliable
	"Washoe County, NV"	"32031"	126	460587	27.4	24.9
	"Carson City, NV"	"32510"	21	54745	38.4	34.1
	"Belknap County, NH"	"33001"	26	60785	42.8	51.0
	"Carroll County, NH"	"33003"	16	48064	Unreliable	Unreliable
	"Cheshire County, NH"	"33005"	23	75960	30.3	34.0
	"Coos County, NH"	"33007"	11	31634	Unreliable	Unreliable
	"Grafton County, NH"	"33009"	21	89386	23.5	24.3
	"Hillsborough County, NH"	"33011"	181	409697	44.2	45.7
	"Merrimack County, NH"	"33013"	39	149216	26.1	26.9
	"Rockingham County, NH"	"33015"	95	306363	31.0	33.5
	"Strafford County, NH"	"33017"	52	128613	40.4	43.1
	"Atlantic County, NJ"	"34001"	134	269918	49.6	53.3
	"Bergen County, NJ"	"34003"	146	948406	15.4	15.7
	"Burlington County, NJ"	"34005"	170	448596	37.9	38.7
	"Camden County, NJ"	"34007"	285	510719	55.8	57.4
	"Cape May County, NJ"	"34009"	52	93553	55.6	67.9
	"Cumberland County, NJ"	"34011"	80	152538	52.4	53.7
	"Essex County, NJ"	"34013"	280	808285	34.6	32.9
	"Gloucester County, NJ"	"34015"	143	292206	48.9	51.7
	"Hudson County, NJ"	"34017"	136	691643	19.7	19.0
	"Hunterdon County, NJ"	"34019"	26	125059	20.8	25.3
	"Mercer County, NJ"	"34021"	100	374733	26.7	26.1
	"Middlesex County, NJ"	"34023"	217	842798	25.7	25.5
	"Monmouth County, NJ"	"34025"	195	626351	31.1	33.4
	"Morris County, NJ"	"34027"	106	499693	21.2	22.3
	"Ocean County, NJ"	"34029"	217	597943	36.3	43.0
	"Passaic County, NJ"	"34031"	114	512607	22.2	21.9
	"Salem County, NJ"	"34033"	19	62792	Unreliable	Unreliable
	"Somerset County, NJ"	"34035"	68	335432	20.3	22.0
	"Sussex County, NJ"	"34037"	36	141682	25.4	29.7
	"Union County, NJ"	"34039"	121	563892	21.5	20.7
	"Warren County, NJ"	"34041"	40	106798	37.5	41.0
	"Bernalillo County, NM"	"35001"	171	676773	25.3	24.4
	"Chaves County, NM"	"35005"	22	64866	33.9	38.2
	"Dona Ana County, NM"	"35013"	36	215579	16.7	18.9
	"Eddy County, NM"	"35015"	14	56997	Unreliable	Unreliable
	"Grant County, NM"	"35017"	12	27687	Unreliable	Unreliable
	"Lea County, NM"	"35025"	12	68759	Unreliable	Unreliable
	"Otero County, NM"	"35035"	12	65817	Unreliable	Unreliable
	"Rio Arriba County, NM"	"35039"	30	39159	76.6	91.4
	"Sandoval County, NM"	"35043"	29	142507	20.3	21.7
	"San Juan County, NM"	"35045"	25	126926	19.7	21.5
	"San Miguel County, NM"	"35047"	11	27748	Unreliable	Unreliable
	"Santa Fe County, NM"	"35049"	34	148750	22.9	27.3
	"Valencia County, NM"	"35061"	30	75940	39.5	41.5
	"Albany County, NY"	"36001"	49	309612	15.8	15.9
	"Bronx County, NY"	"36005"	360	1471160	24.5	23.9
	"Broome County, NY"	"36007"	67	193639	34.6	41.1
	"Cattaraugus County, NY"	"36009"	14	77348	Unreliable	Unreliable
	"Cayuga County, NY"	"36011"	23	77603	29.6	34.2
	"Chautauqua County, NY"	"36013"	40	129046	31.0	34.5
	"Chemung County, NY"	"36015"	27	85557	31.6	32.4
	"Clinton County, NY"	"36019"	17	80980	Unreliable	Unreliable
	"Columbia County, NY"	"36021"	19	60604	Unreliable	Unreliable
	"Cortland County, NY"	"36023"	14	47786	Unreliable	Unreliable
	"Dutchess County, NY"	"36027"	89	295568	30.1	30.8
	"Erie County, NY"	"36029"	280	925528	30.3	31.3
	"Genesee County, NY"	"36037"	14	57956	Unreliable	Unreliable
	"Greene County, NY"	"36039"	13	47470	Unreliable	Unreliable
	"Jefferson County, NY"	"36045"	22	114187	19.3	22.1
	"Kings County, NY"	"36047"	378	2648771	14.3	13.8
	"Lewis County, NY"	"36049"	12	26551	Unreliable	Unreliable
	"Monroe County, NY"	"36055"	206	747642	27.6	28.2
	"Nassau County, NY"	"36059"	230	1369514	16.8	17.6
	"New York County, NY"	"36061"	256	1664727	15.4	14.5
	"Niagara County, NY"	"36063"	48	211328	22.7	24.6
	"Oneida County, NY"	"36065"	59	231332	25.5	27.0
	"Onondaga County, NY"	"36067"	95	465398	20.4	21.2
	"Ontario County, NY"	"36069"	22	109899	20.0	20.4
	"Orange County, NY"	"36071"	96	382226	25.1	26.3
	"Oswego County, NY"	"36075"	24	118478	20.3	22.2
	"Otsego County, NY"	"36077"	10	60094	Unreliable	Unreliable
	"Putnam County, NY"	"36079"	33	99323	33.2	35.4
	"Queens County, NY"	"36081"	284	2358582	12.0	11.3
	"Rensselaer County, NY"	"36083"	21	159722	13.1	15.1
	"Richmond County, NY"	"36085"	117	479458	24.4	24.0
	"Rockland County, NY"	"36087"	43	328868	13.1	14.5
	"St. Lawrence County, NY"	"36089"	16	109623	Unreliable	Unreliable
	"Saratoga County, NY"	"36091"	19	229869	Unreliable	Unreliable
	"Schenectady County, NY"	"36093"	40	155565	25.7	26.1
	"Steuben County, NY"	"36101"	16	96281	Unreliable	Unreliable
	"Suffolk County, NY"	"36103"	479	1492953	32.1	33.5
	"Sullivan County, NY"	"36105"	31	75485	41.1	43.0
	"Tioga County, NY"	"36107"	10	48578	Unreliable	Unreliable
	"Tompkins County, NY"	"36109"	22	104802	21.0	23.9
	"Ulster County, NY"	"36111"	54	179417	30.1	32.4
	"Westchester County, NY"	"36119"	145	980244	14.8	15.1
	"Alamance County, NC"	"37001"	46	162391	28.3	29.1
	"Beaufort County, NC"	"37013"	20	47088	42.5	52.3
	"Brunswick County, NC"	"37019"	51	130897	39.0	50.8
	"Buncombe County, NC"	"37021"	111	257607	43.1	44.3
	"Burke County, NC"	"37023"	28	89293	31.4	31.3
	"Cabarrus County, NC"	"37025"	68	206872	32.9	33.9
	"Caldwell County, NC"	"37027"	18	81981	Unreliable	Unreliable
	"Carteret County, NC"	"37031"	20	68881	29.0	31.3
	"Catawba County, NC"	"37035"	43	157974	27.2	28.5
	"Chatham County, NC"	"37037"	10	71472	Unreliable	Unreliable
	"Cleveland County, NC"	"37045"	12	97334	Unreliable	Unreliable
	"Columbus County, NC"	"37047"	13	55936	Unreliable	Unreliable
	"Craven County, NC"	"37049"	40	102578	39.0	44.0
	"Cumberland County, NC"	"37051"	106	332546	31.9	32.3
	"Dare County, NC"	"37055"	15	36099	Unreliable	Unreliable
	"Davidson County, NC"	"37057"	55	165466	33.2	37.4
	"Durham County, NC"	"37063"	51	311640	16.4	15.5
	"Edgecombe County, NC"	"37065"	11	52747	Unreliable	Unreliable
	"Forsyth County, NC"	"37067"	85	376320	22.6	23.5
	"Franklin County, NC"	"37069"	12	66168	Unreliable	Unreliable
	"Gaston County, NC"	"37071"	55	220182	25.0	26.2
	"Granville County, NC"	"37077"	13	59557	Unreliable	Unreliable
	"Guilford County, NC"	"37081"	121	526953	23.0	23.4
	"Harnett County, NC"	"37085"	34	132754	25.6	26.5
	"Haywood County, NC"	"37087"	19	61084	Unreliable	Unreliable
	"Henderson County, NC"	"37089"	35	115708	30.2	33.3
	"Iredell County, NC"	"37097"	39	175711	22.2	23.4
	"Jackson County, NC"	"37099"	13	42973	Unreliable	Unreliable
	"Johnston County, NC"	"37101"	38	196708	19.3	20.0
	"Lee County, NC"	"37105"	20	60430	33.1	37.2
	"Lenoir County, NC"	"37107"	19	56883	Unreliable	Unreliable
	"Lincoln County, NC"	"37109"	10	82403	Unreliable	Unreliable
	"McDowell County, NC"	"37111"	15	45159	Unreliable	Unreliable
	"Mecklenburg County, NC"	"37119"	200	1076837	18.6	17.8
	"Moore County, NC"	"37125"	16	97264	Unreliable	Unreliable
	"Nash County, NC"	"37127"	15	93991	Unreliable	Unreliable
	"New Hanover County, NC"	"37129"	87	227198	38.3	40.5
	"Onslow County, NC"	"37133"	37	193893	19.1	21.5
	"Orange County, NC"	"37135"	13	144946	Unreliable	Unreliable
	"Pender County, NC"	"37141"	16	60958	Unreliable	Unreliable
	"Pitt County, NC"	"37147"	52	179042	29.0	30.2
	"Randolph County, NC"	"37151"	56	143282	39.1	43.5
	"Robeson County, NC"	"37155"	25	132606	18.9	19.0
	"Rockingham County, NC"	"37157"	24	90949	26.4	30.5
	"Rowan County, NC"	"37159"	72	140644	51.2	51.4
	"Rutherford County, NC"	"37161"	21	66551	31.6	31.2
	"Sampson County, NC"	"37163"	10	63430	Unreliable	Unreliable
	"Stanly County, NC"	"37167"	21	61482	34.2	38.7
	"Stokes County, NC"	"37169"	21	45717	45.9	49.5
	"Surry County, NC"	"37171"	21	72224	29.1	32.9
	"Union County, NC"	"37179"	32	231366	13.8	15.3
	"Vance County, NC"	"37181"	14	44211	Unreliable	Unreliable
	"Wake County, NC"	"37183"	150	1072203	14.0	13.2
	"Wayne County, NC"	"37191"	23	124172	18.5	20.9
	"Wilkes County, NC"	"37193"	20	68576	29.2	32.4
	"Wilson County, NC"	"37195"	15	81671	Unreliable	Unreliable
	"Cass County, ND"	"38017"	15	177787	Unreliable	Unreliable
	"Adams County, OH"	"39001"	16	27726	Unreliable	Unreliable
	"Allen County, OH"	"39003"	43	103198	41.7	45.0
	"Ashland County, OH"	"39005"	10	53628	Unreliable	Unreliable
	"Ashtabula County, OH"	"39007"	44	97807	45.0	51.0
	"Belmont County, OH"	"39013"	21	68029	30.9	34.2
	"Brown County, OH"	"39015"	30	43576	68.8	72.7
	"Butler County, OH"	"39017"	267	380604	70.2	76.1
	"Champaign County, OH"	"39021"	19	38840	Unreliable	Unreliable
	"Clark County, OH"	"39023"	95	134557	70.6	80.8
	"Clermont County, OH"	"39025"	96	204214	47.0	49.4
	"Clinton County, OH"	"39027"	30	42009	71.4	80.0
	"Columbiana County, OH"	"39029"	50	103077	48.5	52.1
	"Crawford County, OH"	"39033"	19	41746	Unreliable	Unreliable
	"Cuyahoga County, OH"	"39035"	619	1248514	49.6	49.4
	"Darke County, OH"	"39037"	29	51536	56.3	63.6
	"Delaware County, OH"	"39041"	32	200464	16.0	16.3
	"Erie County, OH"	"39043"	34	74817	45.4	55.4
	"Fairfield County, OH"	"39045"	49	154733	31.7	34.5
	"Fayette County, OH"	"39047"	28	28752	97.4	112.1
	"Franklin County, OH"	"39049"	451	1291981	34.9	33.9
	"Gallia County, OH"	"39053"	19	29973	Unreliable	Unreliable
	"Geauga County, OH"	"39055"	25	93918	26.6	31.5
	"Greene County, OH"	"39057"	68	166752	40.8	44.9
	"Guernsey County, OH"	"39059"	11	39093	Unreliable	Unreliable
	"Hamilton County, OH"	"39061"	461	813822	56.6	58.2
	"Hancock County, OH"	"39063"	34	75754	44.9	48.7
	"Highland County, OH"	"39071"	28	42971	65.2	75.5
	"Huron County, OH"	"39077"	31	58494	53.0	56.0
	"Jefferson County, OH"	"39081"	28	66359	42.2	50.7
	"Knox County, OH"	"39083"	15	61261	Unreliable	Unreliable
	"Lake County, OH"	"39085"	100	230117	43.5	48.0
	"Lawrence County, OH"	"39087"	32	60249	53.1	60.9
	"Licking County, OH"	"39089"	43	173448	24.8	25.5
	"Logan County, OH"	"39091"	17	45325	Unreliable	Unreliable
	"Lorain County, OH"	"39093"	137	307924	44.5	47.3
	"Lucas County, OH"	"39095"	167	430887	38.8	41.9
	"Madison County, OH"	"39097"	19	44036	Unreliable	Unreliable
	"Mahoning County, OH"	"39099"	117	229796	50.9	54.7
	"Marion County, OH"	"39101"	32	64967	49.3	53.8
	"Medina County, OH"	"39103"	48	178371	26.9	30.7
	"Miami County, OH"	"39109"	44	105122	41.9	49.0
	"Montgomery County, OH"	"39113"	525	531542	98.8	107.3
	"Morrow County, OH"	"39117"	12	34994	Unreliable	Unreliable
	"Muskingum County, OH"	"39119"	21	86149	24.4	29.2
	"Pickaway County, OH"	"39129"	16	57830	Unreliable	Unreliable
	"Pike County, OH"	"39131"	19	28270	Unreliable	Unreliable
	"Portage County, OH"	"39133"	40	162277	24.6	29.1
	"Preble County, OH"	"39135"	30	41120	73.0	78.1
	"Richland County, OH"	"39139"	51	120589	42.3	48.3
	"Ross County, OH"	"39141"	28	77313	36.2	35.8
	"Sandusky County, OH"	"39143"	22	59195	37.2	41.6
	"Scioto County, OH"	"39145"	53	75929	69.8	75.6
	"Seneca County, OH"	"39147"	19	55243	Unreliable	Unreliable
	"Shelby County, OH"	"39149"	22	48759	45.1	50.8
	"Stark County, OH"	"39151"	105	372542	28.2	31.5
	"Summit County, OH"	"39153"	250	541228	46.2	48.4
	"Trumbull County, OH"	"39155"	136	200380	67.9	78.3
	"Tuscarawas County, OH"	"39157"	22	92297	23.8	26.8
	"Union County, OH"	"39159"	11	56741	Unreliable	Unreliable
	"Warren County, OH"	"39165"	87	228882	38.0	39.7
	"Washington County, OH"	"39167"	15	60418	Unreliable	Unreliable
	"Wayne County, OH"	"39169"	24	116038	20.7	23.8
	"Wood County, OH"	"39173"	18	130492	Unreliable	Unreliable
	"Canadian County, OK"	"40017"	15	139926	Unreliable	Unreliable
	"Carter County, OK"	"40019"	15	48190	Unreliable	Unreliable
	"Cleveland County, OK"	"40027"	34	279641	12.2	12.7
	"Comanche County, OK"	"40031"	16	121526	Unreliable	Unreliable
	"Creek County, OK"	"40037"	14	71704	Unreliable	Unreliable
	"Garvin County, OK"	"40049"	10	27909	Unreliable	Unreliable
	"Kay County, OK"	"40071"	11	44544	Unreliable	Unreliable
	"Le Flore County, OK"	"40079"	12	49731	Unreliable	Unreliable
	"Mayes County, OK"	"40097"	11	40921	Unreliable	Unreliable
	"Muskogee County, OK"	"40101"	12	69086	Unreliable	Unreliable
	"Oklahoma County, OK"	"40109"	170	787958	21.6	21.0
	"Okmulgee County, OK"	"40111"	11	38930	Unreliable	Unreliable
	"Osage County, OK"	"40113"	18	47233	Unreliable	Unreliable
	"Pottawatomie County, OK"	"40125"	14	72226	Unreliable	Unreliable
	"Rogers County, OK"	"40131"	10	91444	Unreliable	Unreliable
	"Sequoyah County, OK"	"40135"	12	41252	Unreliable	Unreliable
	"Tulsa County, OK"	"40143"	134	646266	20.7	21.1
	"Wagoner County, OK"	"40145"	18	78657	Unreliable	Unreliable
	"Clackamas County, OR"	"41005"	33	412672	8.0	8.4
	"Deschutes County, OR"	"41017"	20	186875	10.7	10.3
	"Douglas County, OR"	"41019"	12	109405	Unreliable	Unreliable
	"Jackson County, OR"	"41029"	25	217479	11.5	10.9
	"Josephine County, OR"	"41033"	18	86352	Unreliable	Unreliable
	"Klamath County, OR"	"41035"	11	66935	Unreliable	Unreliable
	"Lane County, OR"	"41039"	74	374748	19.7	18.3
	"Linn County, OR"	"41043"	11	125047	Unreliable	Unreliable
	"Marion County, OR"	"41047"	44	341286	12.9	13.6
	"Multnomah County, OR"	"41051"	155	807555	19.2	16.9
	"Washington County, OR"	"41067"	43	588957	7.3	7.2
	"Yamhill County, OR"	"41071"	15	105722	Unreliable	Unreliable
	"Adams County, PA"	"42001"	17	102336	Unreliable	Unreliable
	"Allegheny County, PA"	"42003"	761	1223048	62.2	63.0
	"Armstrong County, PA"	"42005"	36	65642	54.8	66.8
	"Beaver County, PA"	"42007"	89	166140	53.6	59.1
	"Bedford County, PA"	"42009"	20	48480	41.3	51.3
	"Berks County, PA"	"42011"	116	417854	27.8	28.7
	"Blair County, PA"	"42013"	47	123457	38.1	43.3
	"Bradford County, PA"	"42015"	19	60853	Unreliable	Unreliable
	"Bucks County, PA"	"42017"	279	628341	44.4	50.0
	"Butler County, PA"	"42019"	96	187108	51.3	57.6
	"Cambria County, PA"	"42021"	84	133054	63.1	79.1
	"Carbon County, PA"	"42025"	26	63853	40.7	46.5
	"Centre County, PA"	"42027"	16	162660	Unreliable	Unreliable
	"Chester County, PA"	"42029"	168	519293	32.4	34.7
	"Clearfield County, PA"	"42033"	11	79685	Unreliable	Unreliable
	"Columbia County, PA"	"42037"	15	65932	Unreliable	Unreliable
	"Crawford County, PA"	"42039"	21	86159	24.4	29.4
	"Cumberland County, PA"	"42041"	84	250066	33.6	36.9
	"Dauphin County, PA"	"42043"	89	275710	32.3	34.7
	"Delaware County, PA"	"42045"	282	564696	49.9	51.7
	"Elk County, PA"	"42047"	10	30197	Unreliable	Unreliable
	"Erie County, PA"	"42049"	114	274541	41.5	45.0
	"Fayette County, PA"	"42051"	86	131504	65.4	68.9
	"Franklin County, PA"	"42055"	29	154234	18.8	22.2
	"Huntingdon County, PA"	"42061"	14	45491	Unreliable	Unreliable
	"Indiana County, PA"	"42063"	42	84953	49.4	59.8
	"Jefferson County, PA"	"42065"	10	43804	Unreliable	Unreliable
	"Lackawanna County, PA"	"42069"	85	210761	40.3	44.7
	"Lancaster County, PA"	"42071"	172	542903	31.7	33.2
	"Lawrence County, PA"	"42073"	57	87069	65.5	76.4
	"Lebanon County, PA"	"42075"	20	139754	14.3	17.8
	"Lehigh County, PA"	"42077"	118	366494	32.2	33.3
	"Luzerne County, PA"	"42079"	140	317343	44.1	48.9
	"Lycoming County, PA"	"42081"	32	113841	28.1	29.8
	"Mercer County, PA"	"42085"	40	111750	35.8	43.7
	"Mifflin County, PA"	"42087"	13	46388	Unreliable	Unreliable
	"Monroe County, PA"	"42089"	37	168046	22.0	23.6
	"Montgomery County, PA"	"42091"	216	826075	26.1	27.3
	"Northampton County, PA"	"42095"	123	303405	40.5	44.0
	"Northumberland County, PA"	"42097"	30	92029	32.6	35.8
	"Perry County, PA"	"42099"	19	46127	Unreliable	Unreliable
	"Philadelphia County, PA"	"42101"	1047	1580863	66.2	66.5
	"Pike County, PA"	"42103"	23	55691	41.3	49.4
	"Schuylkill County, PA"	"42107"	34	142569	23.8	25.5
	"Somerset County, PA"	"42111"	34	74501	45.6	54.4
	"Susquehanna County, PA"	"42115"	11	40985	Unreliable	Unreliable
	"Tioga County, PA"	"42117"	13	40793	Unreliable	Unreliable
	"Washington County, PA"	"42125"	107	207298	51.6	58.5
	"Wayne County, PA"	"42127"	16	51205	Unreliable	Unreliable
	"Westmoreland County, PA"	"42129"	207	352627	58.7	65.6
	"Wyoming County, PA"	"42131"	12	27322	Unreliable	Unreliable
	"York County, PA"	"42133"	139	446078	31.2	32.9
	"Bristol County, RI"	"44001"	10	48912	Unreliable	Unreliable
	"Kent County, RI"	"44003"	43	163760	26.3	28.0
	"Newport County, RI"	"44005"	28	83460	33.5	36.5
	"Providence County, RI"	"44007"	213	637357	33.4	33.4
	"Washington County, RI"	"44009"	26	126150	20.6	25.1
	"Aiken County, SC"	"45003"	46	168179	27.4	29.6
	"Anderson County, SC"	"45007"	35	198759	17.6	18.9
	"Beaufort County, SC"	"45013"	31	186844	16.6	19.8
	"Berkeley County, SC"	"45015"	41	217937	18.8	18.3
	"Charleston County, SC"	"45019"	86	401438	21.4	19.9
	"Darlington County, SC"	"45031"	10	67265	Unreliable	Unreliable
	"Dorchester County, SC"	"45035"	28	156456	17.9	17.2
	"Florence County, SC"	"45041"	33	138566	23.8	25.1
	"Georgetown County, SC"	"45043"	19	61607	Unreliable	Unreliable
	"Greenville County, SC"	"45045"	103	506837	20.3	20.3
	"Greenwood County, SC"	"45047"	15	70355	Unreliable	Unreliable
	"Horry County, SC"	"45051"	90	333268	27.0	30.4
	"Kershaw County, SC"	"45055"	12	65036	Unreliable	Unreliable
	"Lancaster County, SC"	"45057"	27	92550	29.2	32.9
	"Laurens County, SC"	"45059"	15	66848	Unreliable	Unreliable
	"Lexington County, SC"	"45063"	51	290642	17.5	17.6
	"Oconee County, SC"	"45073"	21	77270	27.2	27.0
	"Pickens County, SC"	"45077"	30	123479	24.3	25.0
	"Richland County, SC"	"45079"	86	411592	20.9	21.9
	"Spartanburg County, SC"	"45083"	75	306854	24.4	24.7
	"York County, SC"	"45091"	60	266439	22.5	22.5
	"Minnehaha County, SD"	"46099"	18	188616	Unreliable	Unreliable
	"Anderson County, TN"	"47001"	47	76257	61.6	59.7
	"Blount County, TN"	"47009"	54	129929	41.6	45.0
	"Bradley County, TN"	"47011"	30	105560	28.4	29.7
	"Campbell County, TN"	"47013"	11	39648	Unreliable	Unreliable
	"Carter County, TN"	"47019"	21	56488	37.2	36.9
	"Cheatham County, TN"	"47021"	25	40330	62.0	61.3
	"Cocke County, TN"	"47029"	15	35556	Unreliable	Unreliable
	"Coffee County, TN"	"47031"	16	55034	Unreliable	Unreliable
	"Cumberland County, TN"	"47035"	14	59078	Unreliable	Unreliable
	"Davidson County, TN"	"47037"	236	691243	34.1	32.2
	"Greene County, TN"	"47059"	21	68808	30.5	31.5
	"Hamblen County, TN"	"47063"	15	64277	Unreliable	Unreliable
	"Hamilton County, TN"	"47065"	85	361613	23.5	23.8
	"Jefferson County, TN"	"47089"	10	53804	Unreliable	Unreliable
	"Knox County, TN"	"47093"	242	461860	52.4	51.0
	"Lawrence County, TN"	"47099"	11	43396	Unreliable	Unreliable
	"Loudon County, TN"	"47105"	22	52152	42.2	48.6
	"McMinn County, TN"	"47107"	16	52877	Unreliable	Unreliable
	"Madison County, TN"	"47113"	16	97643	Unreliable	Unreliable
	"Maury County, TN"	"47119"	16	92163	Unreliable	Unreliable
	"Monroe County, TN"	"47123"	10	46240	Unreliable	Unreliable
	"Montgomery County, TN"	"47125"	36	200182	18.0	18.9
	"Putnam County, TN"	"47141"	13	77674	Unreliable	Unreliable
	"Roane County, TN"	"47145"	22	53036	41.5	40.1
	"Robertson County, TN"	"47147"	17	70177	Unreliable	Unreliable
	"Rutherford County, TN"	"47149"	65	317157	20.5	20.1
	"Sevier County, TN"	"47155"	32	97638	32.8	34.7
	"Shelby County, TN"	"47157"	208	936961	22.2	22.5
	"Sullivan County, TN"	"47163"	42	157158	26.7	26.7
	"Sumner County, TN"	"47165"	40	183545	21.8	22.6
	"Tipton County, TN"	"47167"	15	61366	Unreliable	Unreliable
	"Unicoi County, TN"	"47171"	10	17759	Unreliable	Unreliable
	"Washington County, TN"	"47179"	33	127806	25.8	25.3
	"Williamson County, TN"	"47187"	30	226257	13.3	15.0
	"Wilson County, TN"	"47189"	34	136442	24.9	26.3
	"Angelina County, TX"	"48005"	11	87805	Unreliable	Unreliable
	"Bell County, TX"	"48027"	41	347833	11.8	12.3
	"Bexar County, TX"	"48029"	210	1958578	10.7	10.8
	"Bowie County, TX"	"48037"	11	94012	Unreliable	Unreliable
	"Brazoria County, TX"	"48039"	39	362457	10.8	10.8
	"Cameron County, TX"	"48061"	18	423725	Unreliable	Unreliable
	"Collin County, TX"	"48085"	70	969603	7.2	7.2
	"Comal County, TX"	"48091"	16	141009	Unreliable	Unreliable
	"Dallas County, TX"	"48113"	337	2618148	12.9	12.5
	"Denton County, TX"	"48121"	72	836210	8.6	8.3
	"Ector County, TX"	"48135"	21	157087	13.4	14.8
	"Ellis County, TX"	"48139"	22	173620	12.7	12.5
	"El Paso County, TX"	"48141"	93	840410	11.1	11.8
	"Fort Bend County, TX"	"48157"	41	764828	5.4	5.3
	"Galveston County, TX"	"48167"	55	335036	16.4	16.5
	"Grayson County, TX"	"48181"	15	131140	Unreliable	Unreliable
	"Guadalupe County, TX"	"48187"	15	159659	Unreliable	Unreliable
	"Harris County, TX"	"48201"	536	4652980	11.5	11.2
	"Hays County, TX"	"48209"	18	214485	Unreliable	Unreliable
	"Henderson County, TX"	"48213"	12	81064	Unreliable	Unreliable
	"Hidalgo County, TX"	"48215"	28	860661	3.3	3.5
	"Hood County, TX"	"48221"	12	58273	Unreliable	Unreliable
	"Hunt County, TX"	"48231"	12	93872	Unreliable	Unreliable
	"Jefferson County, TX"	"48245"	33	256299	12.9	11.6
	"Johnson County, TX"	"48251"	16	167301	Unreliable	Unreliable
	"Kaufman County, TX"	"48257"	15	122883	Unreliable	Unreliable
	"Liberty County, TX"	"48291"	12	83658	Unreliable	Unreliable
	"Lubbock County, TX"	"48303"	46	305225	15.1	16.2
	"McLennan County, TX"	"48309"	22	251259	8.8	9.6
	"Montgomery County, TX"	"48339"	98	570934	17.2	16.7
	"Nueces County, TX"	"48355"	77	361221	21.3	21.1
	"Orange County, TX"	"48361"	23	85047	27.0	28.6
	"Parker County, TX"	"48367"	16	133463	Unreliable	Unreliable
	"Potter County, TX"	"48375"	15	120458	Unreliable	Unreliable
	"Randall County, TX"	"48381"	22	134442	16.4	16.5
	"Rockwall County, TX"	"48397"	13	96788	Unreliable	Unreliable
	"Smith County, TX"	"48423"	16	227727	Unreliable	Unreliable
	"Tarrant County, TX"	"48439"	200	2054475	9.7	9.5
	"Taylor County, TX"	"48441"	16	136290	Unreliable	Unreliable
	"Tom Green County, TX"	"48451"	13	118019	Unreliable	Unreliable
	"Travis County, TX"	"48453"	146	1226698	11.9	11.0
	"Victoria County, TX"	"48469"	10	92084	Unreliable	Unreliable
	"Webb County, TX"	"48479"	40	274794	14.6	15.5
	"Wichita County, TX"	"48485"	16	132000	Unreliable	Unreliable
	"Williamson County, TX"	"48491"	23	547545	4.2	4.1
	"Wise County, TX"	"48497"	11	66181	Unreliable	Unreliable
	"Cache County, UT"	"49005"	14	124438	Unreliable	Unreliable
	"Davis County, UT"	"49011"	57	347637	16.4	17.2
	"Salt Lake County, UT"	"49035"	272	1135649	24.0	24.0
	"Tooele County, UT"	"49045"	15	67456	Unreliable	Unreliable
	"Utah County, UT"	"49049"	111	606425	18.3	21.9
	"Washington County, UT"	"49053"	35	165662	21.1	24.7
	"Weber County, UT"	"49057"	67	251769	26.6	27.5
	"Chittenden County, VT"	"50007"	38	162372	23.4	24.6
	"Franklin County, VT"	"50011"	13	49025	Unreliable	Unreliable
	"Rutland County, VT"	"50021"	13	59087	Unreliable	Unreliable
	"Washington County, VT"	"50023"	11	58290	Unreliable	Unreliable
	"Windham County, VT"	"50025"	19	42869	Unreliable	Unreliable
