"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Jefferson County, CO"	"08059"	95	574613	16.5	15.7
	"Larimer County, CO"	"08069"	50	343976	14.5	14.2
	"Mesa County, CO"	"08077"	40	151616	26.4	26.9
	"Pueblo County, CO"	"08101"	51	166475	30.6	30.4
	"Weld County, CO"	"08123"	34	304633	11.2	11.5
	"Fairfield County, CT"	"09001"	173	949921	18.2	18.8
	"Hartford County, CT"	"09003"	313	895388	35.0	35.0
	"Litchfield County, CT"	"09005"	57	182177	31.3	35.9
	"Middlesex County, CT"	"09007"	49	163410	30.0	32.5
	"New Haven County, CT"	"09009"	297	860435	34.5	35.7
	"New London County, CT"	"09011"	91	269033	33.8	35.7
	"Tolland County, CT"	"09013"	47	151461	31.0	36.3
	"Windham County, CT"	"09015"	45	116359	38.7	42.5
	"Kent County, DE"	"10001"	41	176824	23.2	24.4
	"New Castle County, DE"	"10003"	233	559793	41.6	42.1
	"Sussex County, DE"	"10005"	64	225322	28.4	33.3
	"District of Columbia, DC"	"11001"	310	693972	44.7	44.0
	"Alachua County, FL"	"12001"	27	266944	10.1	11.9
	"Bay County, FL"	"12005"	34	183563	18.5	18.0
	"Brevard County, FL"	"12009"	247	589162	41.9	45.6
	"Broward County, FL"	"12011"	555	1935878	28.7	28.3
	"Charlotte County, FL"	"12015"	11	182033	Unreliable	Unreliable
	"Citrus County, FL"	"12017"	37	145647	25.4	33.2
	"Clay County, FL"	"12019"	57	212230	26.9	28.5
	"Collier County, FL"	"12021"	66	372880	17.7	21.9
	"Columbia County, FL"	"12023"	17	69612	Unreliable	Unreliable
	"Duval County, FL"	"12031"	443	937934	47.2	46.6
	"Escambia County, FL"	"12033"	55	313512	17.5	17.9
	"Flagler County, FL"	"12035"	20	110510	18.1	21.9
	"Hernando County, FL"	"12053"	38	186553	20.4	23.2
	"Highlands County, FL"	"12055"	19	102883	Unreliable	Unreliable
	"Hillsborough County, FL"	"12057"	236	1408566	16.8	15.9
	"Indian River County, FL"	"12061"	23	154383	14.9	17.9
	"Lake County, FL"	"12069"	85	346017	24.6	29.2
	"Lee County, FL"	"12071"	232	739224	31.4	36.9
	"Leon County, FL"	"12073"	26	290292	9.0	9.8
	"Levy County, FL"	"12075"	10	40355	Unreliable	Unreliable
	"Manatee County, FL"	"12081"	136	385571	35.3	41.7
	"Marion County, FL"	"12083"	132	354353	37.3	42.7
	"Martin County, FL"	"12085"	42	159923	26.3	30.0
	"Miami-Dade County, FL"	"12086"	325	2751796	11.8	11.4
	"Monroe County, FL"	"12087"	19	77013	Unreliable	Unreliable
	"Nassau County, FL"	"12089"	24	82721	29.0	32.6
	"Okaloosa County, FL"	"12091"	40	202970	19.7	20.0
	"Okeechobee County, FL"	"12093"	10	41605	Unreliable	Unreliable
	"Orange County, FL"	"12095"	229	1348975	17.0	16.5
	"Osceola County, FL"	"12097"	65	352180	18.5	19.0
	"Palm Beach County, FL"	"12099"	616	1471150	41.9	45.8
	"Pasco County, FL"	"12101"	155	525643	29.5	31.1
	"Pinellas County, FL"	"12103"	251	970637	25.9	27.3
	"Polk County, FL"	"12105"	145	686483	21.1	21.6
	"Putnam County, FL"	"12107"	16	73464	Unreliable	Unreliable
	"St. Johns County, FL"	"12109"	41	243812	16.8	17.6
	"St. Lucie County, FL"	"12111"	87	313506	27.8	31.3
	"Santa Rosa County, FL"	"12113"	31	174272	17.8	18.1
	"Sarasota County, FL"	"12115"	129	419119	30.8	39.8
	"Seminole County, FL"	"12117"	108	462659	23.3	22.9
	"Sumter County, FL"	"12119"	12	125165	Unreliable	Unreliable
	"Volusia County, FL"	"12127"	141	538692	26.2	30.1
	"Walton County, FL"	"12131"	10	68376	Unreliable	Unreliable
	"Barrow County, GA"	"13013"	17	79061	Unreliable	Unreliable
	"Bartow County, GA"	"13015"	26	105054	24.7	26.2
	"Bibb County, GA"	"13021"	20	152862	13.1	13.3
	"Carroll County, GA"	"13045"	34	117812	28.9	29.5
	"Catoosa County, GA"	"13047"	22	66550	33.1	37.1
	"Chatham County, GA"	"13051"	38	290501	13.1	14.1
	"Cherokee County, GA"	"13057"	38	247573	15.3	16.0
	"Clarke County, GA"	"13059"	13	127064	Unreliable	Unreliable
	"Clayton County, GA"	"13063"	36	285153	12.6	12.7
	"Cobb County, GA"	"13067"	148	755754	19.6	18.8
